Proposal: Proposal Name,Contract Number,Status,Account Name,Account Owner,Centre
NCR/PT/01761/1,1396,Activated,Western Vindhya,Khushboo Parakh,CoWrks Golf Course Road
NCR/PT/01832/1,1481,Activated,AgriChain Private Limited,Dhruv Agarwal,CoWrks Golf Course Road
NCR/PT/01788/1,1423,Activated,DUNNHUMBY IT SERVICES INDIA PRIVATE LIMITED,Arjun Gulati,CoWrks Golf Course Road
NCR/PT/01574/2,1254,Activated,Neha Rakheja,Dhruv Agarwal,CoWrks Golf Course Road
NCR/PT/01597/1,1289,Activated,YMetis India Private Limited,Dhruv Agarwal,CoWrks Golf Course Road
NCR/PT/01787/1,1417,Activated,DUNNHUMBY IT SERVICES INDIA PRIVATE LIMITED,Arjun Gulati,CoWrks Golf Course Road
NCR/PT/01779/1,1408,Month on Month,Adways Innovations India Private Limited,Khushboo Parakh,CoWrks Golf Course Road
NCR/PT/01744/1,1379,Activated,Moksh Eshpuniyani(Delna Foods),Khushboo Parakh,CoWrks Golf Course Road
NCR/PT/01524/1,1421,Month on Month,EJ INITIATIVE LLP,Dhruv Agarwal,CoWrks Golf Course Road
NCR/PT/01769/1,1398,Activated,SAM Technologies,Khushboo Parakh,CoWrks Golf Course Road
NCR/PT/01601/1,1265,Activated,Anurag Baveja,Dhruv Agarwal,CoWrks Golf Course Road
NCR/PT/01738/1,1369,Month on Month,YMetis India Private Limited,Dhruv Agarwal,CoWrks Golf Course Road
NCR/PT/01333/2,1194,Activated,Razorpay Software  Private Limited,Arjun Sharma,CoWrks Golf Course Road
NCR/PT/01638/1,1294,Activated,MissMalini Entertainment Pvt Ltd,Dhruv Agarwal,CoWrks Golf Course Road
NCR/PT/01722/1,1393,Activated,Flemingo Travel Retail (P) Limited.,Khushboo Parakh,CoWrks Golf Course Road
BLR/KO/02427/1,2002,Activated,HUSYS CONSULTING PRIVATE LIMITED,Smriti Gautam,CoWrks Koramangala
BLR/KO/02792/1,2242,Activated,Dunya Labs India Pvt Ltd,Jithin Raj,CoWrks Koramangala
BLR/KO/02630/1,2142,Activated,Tenso,Rumpa Das,CoWrks Koramangala
BLR/KO/02238/1,2135,Activated,Netdox Health Private Limited,Raghu Ram,CoWrks Koramangala
BLR/KO/02231/2,2057,Activated,Instartlogic India Private Limited,Rumpa Das,CoWrks Koramangala
BLR/KO/02591/1,2134,Activated,Netdox Health Private Limited,Raghu Ram,CoWrks Koramangala
BLR/KO/02398/1,1983,Activated,Legion Realty Services,Rumpa Das,CoWrks Koramangala
BLR/KO/02791/1,2244,Activated,Dunya Labs India Pvt Ltd,Jithin Raj,CoWrks Koramangala
BLR/KO/02209/1,2000,Activated,HUSYS CONSULTING PRIVATE LIMITED,Smriti Gautam,CoWrks Koramangala
BLR/KO/02820/1,2313,Activated,Rohit Singal,Antoinette Monisha,CoWrks Koramangala
BLR/KO/02902/1,2397,Activated,BUNDL TECHNOLOGIES PRIVATE LIMITED,Smriti Gautam,CoWrks Koramangala
BLR/KO/02841/1,2355,Activated,SWYM TECHNOLOGIES PRIVATE LIMITED,Jithin Raj,CoWrks Koramangala
BLR/KO/02834/1,2335,Activated,Rohit Singal,Antoinette Monisha,CoWrks Koramangala
BLR/KO/02900/1,2412,Activated,Barton Trust,Jithin Raj,CoWrks Koramangala
BLR/KO/02736/1,2267,Activated,Nishith Jayaraj Shah,Jithin Raj,CoWrks Koramangala
BLR/KO/02849/1,2331,Formal Notice Given,Sa-Sai Retail India Pvt Ltd,Jithin Raj,CoWrks Koramangala
BLR/KO/02437/2,2306,Activated,WarpDrive Tech Works LLP,Smriti Gautam,CoWrks Koramangala
BLR/KO/02934/1,2381,Formal Notice Given,Venture Classic,Jithin Raj,CoWrks Koramangala
BLR/MN/01771/1,1401,Activated,Empagnie Education Private Limited,Rumpa Das,CoWrks Millenia
BLR/MN/01500/1,1397,Formal Notice Given,Big Spring Services Private Limited.,Raghu Ram,CoWrks Millenia
BLR/MN/01521/1,1211,Activated,Aeon Consultants,Raghu Ram,CoWrks Millenia
BLR/IN/00560/1,538,Activated,GOOVERTURE ENTERTAINMENT PVT LTD,Smriti Gautam,CoWrks New Indiranagar
BLR/IN/00412/1,398,Month on Month,Rahul Nene,Auguste Pocuinaite,CoWrks New Indiranagar
BLR/IN/00559/1,532,Activated,Stylumia Intelligence Technology Pvt Ltd,Imaad Ahmed,CoWrks New Indiranagar
BLR/IN/01004/2,873,Month on Month,Pluralsight India Pvt Ltd,Smriti Gautam,CoWrks New Indiranagar
BLR/IN/00456/1,468,Activated,Stylumia Intelligence Technology Pvt Ltd,Imaad Ahmed,CoWrks New Indiranagar
BLR/IN/00506/1,488,Activated,Stylumia Intelligence Technology Pvt Ltd,Imaad Ahmed,CoWrks New Indiranagar
BLR/IN/00401/1,395,Activated,Stylumia Intelligence Technology Pvt Ltd,Imaad Ahmed,CoWrks New Indiranagar
