Inventory: Name,Floor,Status,No of Units,Exterior,Exterior Patio,Interior,Centre: Name,Unit Type
NCR/AC/CL/00/017,00,Available,1,0,,1,CoWrks Aerocity,Lounge
NCR/AC/CL/00/018,00,Available,1,0,,1,CoWrks Aerocity,Lounge
NCR/AC/CL/00/019,00,Available,1,0,,1,CoWrks Aerocity,Lounge
NCR/AC/CL/00/020,00,Available,1,0,,1,CoWrks Aerocity,Lounge
NCR/AC/CL/00/021,00,Available,1,0,,1,CoWrks Aerocity,Lounge
NCR/AC/CL/00/022,00,Available,1,0,,1,CoWrks Aerocity,Lounge
NCR/AC/CL/00/023,00,Available,1,0,,1,CoWrks Aerocity,Lounge
NCR/AC/CL/00/024,00,Available,1,0,,1,CoWrks Aerocity,Lounge
NCR/AC/CL/00/025,00,Available,1,0,,1,CoWrks Aerocity,Lounge
NCR/AC/CL/00/026,00,Available,1,0,,1,CoWrks Aerocity,Lounge
NCR/AC/CL/00/027,00,Available,1,0,,1,CoWrks Aerocity,Lounge
NCR/AC/CL/00/028,00,Available,1,0,,1,CoWrks Aerocity,Lounge
NCR/AC/VO/00/001,N/A,Blocked,1,,,,CoWrks Aerocity,Virtual Office
NCR/AC/VO/00/004,N/A,Available,1,,,,CoWrks Aerocity,Virtual Office
NCR/AC/VO/00/003,N/A,Available,1,,,,CoWrks Aerocity,Virtual Office
NCR/AC/VO/00/005,N/A,Available,1,,,,CoWrks Aerocity,Virtual Office
NCR/AC/VO/00/002,N/A,Available,1,,,,CoWrks Aerocity,Virtual Office
NCR/AC/LK/00/001,N/A,Available,1,,,,CoWrks Aerocity,Lockers
NCR/PT/PS/2B/001,2B,Available,25,1,,0,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/2B/002,2B,Available,18,0,,1,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/2B/003,2B,Available,17,0,,1,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/2B/004,2B,Available,16,1,,0,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/2B/005,2B,Available,5,1,,0,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/2B/006,2B,Available,6,1,,0,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/2B/007,2B,Available,6,1,,0,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/2B/008,2B,Available,43,1,,0,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/2B/009,2B,Available,12,0,,1,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/2B/010,2B,Available,12,0,,1,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/2B/011,2B,Blocked,2,0,,1,CoWrks Golf Course Road,Private Studio
