Proposal Name,Name,Unit Type,No of Desks,Centre: Name
NCR/PT/02982/2,NCR/PT/PS/2B/008,Private Studio,148,CoWrks Golf Course Road
NCR/PT/03048/1,NCR/PT/DD/01/002,Dedicated Desk,1,CoWrks Golf Course Road
NCR/PT/03049/1,NCR/PT/DD/01/022,Dedicated Desk,1,CoWrks Golf Course Road
NCR/PT/01464/1,NCR/PT/DD/01/022,Dedicated Desk,1,CoWrks Golf Course Road
NCR/PT/02776/1,NCR/PT/DD/01/032,Dedicated Desk,1,CoWrks Golf Course Road
NCR/PT/01214/1,NCR/PT/PS/01/018,Private Studio,40,CoWrks Golf Course Road
NCR/PT/01214/1,NCR/PT/PS/01/019,Private Studio,40,CoWrks Golf Course Road
NCR/PT/02605/1,NCR/PT/PS/01/018,Private Studio,20,CoWrks Golf Course Road
NCR/PT/02605/1,NCR/PT/PS/01/019,Private Studio,20,CoWrks Golf Course Road
NCR/PT/02646/1,NCR/PT/PSDD/00/067,Dedicated Desk,1,CoWrks Golf Course Road
NCR/PT/02670/1,NCR/PT/FD/00/031,Flexible Desk,1,CoWrks Golf Course Road
NCR/PT/02814/1,NCR/PT/CP/00/013,Car Parking,0,CoWrks Golf Course Road
